"","FY","State","StateName","VetPop","TotX","CP","Cons","EduVoc","Loan","GOE","InsInd","MedCare","Uniques"
"20","2007","ME","Maine",144006.644007138,564035.907833282,311564.352361012,377.61126,25062.5063671462,0,8387.61659,9543.68628191358,209100.13497321,38918
"21","2007","MD","Maryland",484012.795188893,1242613.67907159,546252.802460128,8747.65954,62064.898778992,0,18936.79051,38381.6846014945,568229.843180975,75844
"22","2007","MA","Massachusetts",440900.692056468,1420023.02227733,610631.595940328,4080.15334,44719.5681381855,0,20098.3902,47569.7622350118,692923.552423801,82138
"23","2007","MI","Michigan",761308.070716281,1679508.49255414,797861.713939409,11822.23046,64558.8052825392,0,34087.79205,48116.7881464609,723061.162675733,124750
"24","2007","MN","Minnesota",408467.992656224,1277758.80274143,570265.817957641,9936.3208,41122.1801789156,0,46984.76325,33476.7900103727,575972.930544497,96875
"25","2007","MS","Mississippi",215803.802762367,918553.81030659,400015.50480938,43303.90554,21849.2274156797,0,20580.50954,12637.7029544985,420166.960047032,70030
"26","2007","MO","Missouri",530799.021873959,1567041.78988744,699360.696646986,10004.14208,59876.5755032959,0,64983.5024,34118.2703747188,698698.602882439,129729
"27","2007","MT","Montana",104391.480948492,346634.074121469,180667.271995084,3096.0931,13261.1552480752,0,5159.88438,7192.58942142622,137257.079976884,30240
"28","2007","NE","Nebraska",152842.936279112,516322.972117406,214673.232637983,6725.52505,22716.0456645732,0,11143.60189,13243.2562018407,247821.310673009,43966
"29","2007","NV","Nevada",245772.709282488,763013.686095558,321105.397346467,36989.43593,27421.9826937149,0,10232.84614,12556.0163200879,354708.007665288,54070
"30","2007","NH","New Hampshire",132289.867014512,356852.340595578,164806.277536302,292.99666,17640.3541367963,0,7018.16776,9828.53485213961,157266.00965034,26507
"31","2007","NJ","New Jersey",506752.081873146,1204049.57045395,549562.547613867,5152.20417,62138.267452828,0,12309.90391,57659.003218834,517227.644088422,83153
"32","2007","NM","New Mexico",179497.010837924,769801.222661362,399911.990472478,2644.08576,31501.3302101443,0,10139.70236,12371.2230004657,313232.890858274,56278
"33","2007","NY","New York",1065748.76223207,3569620.51228021,1257617.00752294,6441.47738,160588.70900661,0,92737.50492,107288.935878453,1944946.87757221,249163
"34","2007","NC","North Carolina",773630.024024096,2582760.11860011,1425344.25769547,6551.5152,132559.963317681,0,48488.2211,43314.7782089274,926501.383078031,168807
"35","2007","ND","North Dakota",58283.4477330495,181298.035594529,89404.4045032448,690.06085,9821.71002065979,0,4249.62555,3569.93445629202,73562.3002143322,17293
"36","2007","OH","Ohio",957889.223076405,2970790.97830783,1029532.82872482,62074.51879,81176.8461532609,0,515546.1826,66597.4492979915,1215863.15274176,199167
"37","2007","OK","Oklahoma",338085.886328012,1452479.8345673,886984.221956577,597.79357,59963.9416690958,0,51482.07379,19072.7204769693,434379.083104658,81997
"38","2007","OR","Oregon",351697.1040729,1239452.4667683,604849.646363141,15256.93629,48156.3248303798,0,29415.79546,23801.8490342013,517971.914790577,81470
"39","2007","PA","Pennsylvania",1057072.89112216,2840523.16084352,1167287.26046784,73036.56776,84552.9894743175,0,109245.51982,90000.4445245032,1316400.37879686,239251
"40","2007","RI","Rhode Island",79616.1800284688,274899.08395024,125657.29126639,132.04459,7462.39819952454,0,7821.73331,8028.46547303431,125797.151111291,20349
"41","2007","SC","South Carolina",410076.495364918,1381426.63117118,756713.929297119,8074.02148,62446.1828494727,0,22379.41456,23860.7934294951,507952.289555095,99162
"42","2007","SD","South Dakota",74273.4821521431,352533.527264111,136364.592249958,0,11999.2561009499,0,5721.86626,4917.47438282815,193530.338270375,30476
"43","2007","TN","Tennessee",512156.110259683,1685554.6001681,785980.483172097,8989.62086,61461.4064723117,0,35636.57862,27720.0690958879,765766.441947803,119208
"44","2007","TX","Texas",1707365.41157578,6282525.11473025,3215515.93166409,17536.24715,311970.097794983,205062.86065,144522.16436,105190.286973458,2282727.52613772,391155
"45","2007","UT","Utah",157011.798030578,446917.094571172,183098.455740652,308.74943,21141.2337294769,0,14547.94482,11548.2167818738,216272.494069169,31075
"46","2007","VT","Vermont",55382.1677834411,176808.348527795,72724.7818537092,11.86286,18284.6408631303,0,2909.55755,4378.78565882256,78498.7197421326,14850
"47","2007","VA","Virginia",807325.908804446,2124954.46479371,1167854.43496673,3257.90721,145009.244254047,0,44808.26745,53846.7742531779,710177.836659759,119475
